homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed,title
Southampton,3,Leicester City,0,0wKpv4sEeE0,1/22/17,Southampton stifle Leicester City in 3-0 win
Arsenal,2,Burnley,1,V8FPdwuH8XI,1/22/17,Arsenal snatch win from Burnley with late PK
Chelsea,2,Hull City,0,8Z83zbFS3Kk,1/22/17,Chelsea beat Hull City as Diego Costa returns
West Ham,3,Middlesbrough,1,e3xGKzX42dw,1/21/17,West Ham too much for Middlesbrough in 3-1 win
Everton,1,Crystal Palace,0,vW2zbL0LoMo,1/21/17,Everton get late goal to earn win over Palace
Liverpool,2,Swansea City,3,eAgJqt8ltnU,1/21/17,Swansea City shock Liverpool in 3-2 thriller
West Brom,2,Sunderland,0,41eo49cVwM8,1/21/17,West Brom power past Sunderland for 2-0 win
Manchester United,1,Stoke City,1,CyvE-Rtmm1Q,1/21/17,Wayne Rooney's historic goal forces Man United's 1-1 draw with Stoke City
Tottenham,2,Manchester City,2,zgXTuSnG23k,1/21/17,"Manchester City opened the second half with two quick goals, but could not maintain their lead as Tottenham came back to earn a point with a 2-2 draw."
Bournemouth,2,Watford,2,UB1kdWfqOx4,1/21/17,Bournemouth come back to earn draw with Watford
Liverpool,1,Manchester United,1,TZW3iTc08l0,1/15/17,Man United  Liverpool share points in 1-1 draw
Everton,1,Crystal Palace,0,BuLkFq7mCOQ,1/21/17,Everton top Manchester City in 4-0 blowout
Chelsea,3,Leicester City,0,G0sEEy7BO00,1/14/17,Even without Costa  Chelsea crush Leicester
Tottenham,4,West Brom,0,iuHbp3sOk4o,1/14/17,Kane's hat-trick leads Tottenham past West Brom
Watford,0,Middlesbrough,0,4QtUBOsRhvE,1/14/17,Watford  Middlesbrough play to scoreless draw
Southampton,0,Burnley,1,ydUOwutg64o,1/14/17,Joey Barton's goal helps Burnley past Southampton
Stoke City,3,Sunderland,1,IfMqji-U9lA,1/14/17,Stoke City power past Sunderland in 3-1 win
Bournemouth,1,Hull City,3,FMFuaX7lO7g,1/14/17,Hull City come back to beat Bournemouth 3-1
Arsenal,4,Swansea City,0,6GEfTCNMlBM,1/14/17,Arsenal too much for Swansea City in 4-0 win
West Ham,3,Crystal Palace,0,f1HTpWYh6_0,1/14/17,West Ham thrash Crystal Palace in 3-0 win
Arsenal,3,Bournemouth,3,PuZozAYyXxU,1/3/17,Arsenal come back in 3-3 thriller v. Bournemouth
Crystal Palace,1,Swansea City,2,XwTbG8sTHSc,1/3/17,Swansea earn vital relegation battle win v. Crystal Palace
Stoke City,2,Watford,0,rMdFQXqo7ww,1/3/17,Stoke City handle Watford in 2-0 win
Everton,3,Southampton,0,jVSkDQ22b1c,1/2/17,Everton pull away from Southampton for 3-0 win
West Brom,3,Hull City,1,JA46KzuFEFU,1/2/17,West Brom power past Hull City in 3-1 win
Burnley,1,Manchester City,2,Tqa7jgQoZfk,1/2/17,10-man Manchester City beat Burnley 2-1
Manchester United,2,West Ham,0,LastE_ZtdY0,1/2/17,Man United earn 6th straight PL win v. 10-man West Ham
Leicester City,0,Middlesbrough,0,LAoO_Lkw8Ng,1/2/17,Middlesbrough  Leicester play to scoreless draw
Liverpool,2,Sunderland,2,wUKF7oe0x0I,1/2/17,Sunderland earn 2-2 draw against Liverpool
